host_group,collection_date,genome_id,genome_name,subtype,genome_length,decimal_date,year_int
Human,2008-02-09,1598840.3,Influenza A virus (A/Hong Kong/173/2008(H3N2)),H3N2,1698,2008.1065573770493,2008
Human,2017-01-30,2037360.3,Influenza A virus (A/North Dakota/5904/2017(H3N2)),H3N2,1701,2017.0794520547945,2017
Human,2010-06-03,1517298.3,Influenza A virus (A/Singapore/H2010.422/2010(H3N2)),H3N2,1762,2010.419178082192,2010
Human,2011-12-01,1204131.3,Influenza A virus (A/Singapore/GP1810/2011(H3N2)),H3N2,1758,2011.9150684931508,2011
Human,2013-01-07,1739989.3,Influenza A virus (A/Gunma/88-95v/2013(H3N2)),H3N2,1762,2013.0164383561644,2013
Human,2016-11-07,1925244.4,Influenza A virus (A/Orel/CRIE-06/2016(H3N2)),H3N2,1701,2016.849726775956,2016
Human,2008-07,2036402.3,Influenza A virus (A/Hong Kong/CUHK73440/2008(H3N2)),H3N2,1689,2008.535519125683,2008
Nonhuman Mammal,2012-01-24,1214807.5,Influenza A virus (A/swine/Illinois/A01241212/2012(H3N2)),H3N2,1701,2012.0628415300544,2012
Human,2024-12-31,11320.830167,Influenza A virus A/Massachusetts/ISC-1345/2024,H3N2,1737,2024.9945355191255,2024
Nonhuman Mammal,2011-11-16,1193865.3,Influenza A virus (A/swine/Indiana/A01202867/2011(H3N2)),H3N2,1701,2011.8739726027395,2011
Human,2014-02-01,1778704.3,Influenza A virus (A/Hokkaido/JP-77v/2014(H3N2)),H3N2,1762,2014.0849315068492,2014
Human,2025-01-10,11320.968415,Influenza A virus A/Texas/08/2025,H3N2,1737,2025.024657534247,2025
Nonhuman Mammal,2014-11-11,1587944.3,Influenza A virus (A/swine/North Carolina/A01476954/2014(H3N2)),H3N2,1701,2014.8602739726027,2014
Human,2024-12-11,11320.978579,Influenza A virus A/California/LACPHL-INF01251/2024,H3N2,1701,2024.9426229508197,2024
Human,2015-03-23,1731503.8,Influenza A virus (A/Nebraska/16/2015(H3N2)),H3N2,1701,2015.2219178082191,2015
Human,2016-02-09,1865753.4,Influenza A virus (A/California/60/2016(H3N2)),H3N2,1737,2016.1065573770493,2016
Human,2021-11-02,11320.276608,Influenza A virus A/Tennessee/02/2021,H3N2,1737,2021.835616438356,2021
Human,1996-04,2036226.3,Influenza A virus (A/Hong Kong/CUHK10886/1996(H3N2)),H3N2,1689,1996.2868852459017,1996
Human,2016-07-29,1915292.3,Influenza A virus (A/New Jersey/NHRC_93408/2016(H3N2)),H3N2,1733,2016.573770491803,2016
Human,2017-04-25,2019652.14,Influenza A virus (A/Utah/27/2017(H3N2)),H3N2,1737,2017.3123287671233,2017
Nonhuman Mammal,2009-05-13,1705137.14,Influenza A virus (A/swine/Minnesota/D09-24462-1/2009(H3N2)),H3N2,1701,2009.3616438356164,2009
Nonhuman Mammal,2002,1261415.3,Influenza A virus (A/swine/Ehime/1/2002(H3N2)),H3N2,1701,2002.0,2002
Human,2014-10-05,1731695.15,Influenza A virus (A/Oregon/09/2014(H3N2)),H3N2,1701,2014.7589041095891,2014
Nonhuman Mammal,2010-12-14,1150744.7,Influenza A virus (A/swine/Missouri/A01047969/2010(H3N2)),H3N2,1701,2010.9506849315069,2010
Human,2015-07-18,1823787.6,Influenza A virus (A/Alaska/129/2015(H3N2)),H3N2,1737,2015.5424657534247,2015
Human,2003-11-06,1000745.7,Influenza A virus (A/England/467/2003(H3N2)),H3N2,1701,2003.8465753424657,2003
Human,2013-12-13,1515920.4,Influenza A virus (A/Wisconsin/36/2013(H3N2)),H3N2,1701,2013.9479452054795,2013
Human,2018-09-21,11320.244771,Influenza A virus A/Victoria/2067/2018,H3N2,1737,2018.7205479452057,2018
Nonhuman Mammal,2012-04-12,1214875.5,Influenza A virus (A/swine/Minnesota/A01328451/2012(H3N2)),H3N2,1701,2012.27868852459,2012
Human,2014-12-19,1731991.4,Influenza A virus (A/Wisconsin/72/2014(H3N2)),H3N2,1701,2014.964383561644,2014
Human,2009-07-27,1038269.3,Influenza A virus (A/Hong Kong/H090-739-V23/2009(H3N2)),H3N2,1738,2009.5671232876712,2009
Human,1996-09,2036268.3,Influenza A virus (A/Hong Kong/CUHK29206/1996(H3N2)),H3N2,1689,1996.704918032787,1996
Human,2015-01-17,1717091.3,Influenza A virus (A/Washington/4587/2015(H3N2)),H3N2,1701,2015.0438356164384,2015
Human,2013-01-29,1523225.3,Influenza A virus (A/Hangzhou/B48/2013(H3N2)),H3N2,1701,2013.0767123287671,2013
Nonhuman Mammal,2016-07-01,2024143.7,Influenza A virus (A/swine/Ohio/16TOSU4333/2016(H3N2)),H3N2,1734,2016.4972677595629,2016
Human,2015-01-08,1916556.8,Influenza A virus (A/New Hampshire/03/2015(H3N2)),H3N2,1701,2015.0191780821915,2015
Human,2017-03-09,1987211.3,Influenza A virus (A/Massachusetts/09/2017(H3N2)),H3N2,1737,2017.1835616438357,2017
Human,2016-02-25,1865998.7,Influenza A virus (A/New Jersey/07/2016(H3N2)),H3N2,1737,2016.150273224044,2016
Human,2026-02-03,11320.1512797,Influenza A virus A/Manacapuru/ITpS_Hws_001QE/2026,H3N2,1737,2026.090410958904,2026
Human,2012-02-20,1737293.6,Influenza A virus (A/Thailand/FLU_PMKA1835/2012(H3N2)),H3N2,1701,2012.136612021858,2012
Human,2011-12-01,2018299.3,Influenza A virus (A/Korea/KUMC-GR92/2011(H3N2)),H3N2,1701,2011.9150684931508,2011
Human,2019-02-03,11320.96849,Influenza A virus A/California/46/2019,H3N2,1737,2019.090410958904,2019
Human,2014-12-19,1703738.3,Influenza A virus (A/Wyoming/4221/2014(H3N2)),H3N2,1701,2014.964383561644,2014
Human,2012-01-16,1740042.3,Influenza A virus (A/Chiba/30-113v/2012(H3N2)),H3N2,1762,2012.0409836065571,2012
Human,2014-12-11,1703630.3,Influenza A virus (A/Louisiana/4148/2014(H3N2)),H3N2,1701,2014.9424657534248,2014
Human,2009-08-03,1038284.18,Influenza A virus (A/Hong Kong/H090-769-V10/2009(H3N2)),H3N2,1738,2009.5863013698631,2009
Human,2011-07-03,1216916.4,Influenza A virus (A/Singapore/H2011.504C/2011(H3N2)),H3N2,1762,2011.5013698630137,2011
Human,2011-07-11,1978707.7,Influenza A virus (A/Santa Cruz do Sul/LACENRS-913/2011(H3N2)),H3N2,1762,2011.5232876712328,2011
Human,2009-07-20,1038257.12,Influenza A virus (A/Hong Kong/H090-725-V10/2009(H3N2)),H3N2,1738,2009.5479452054792,2009
Nonhuman Mammal,2011-07-21,1512145.3,Influenza A virus (A/swine/Hong Kong/NS2816/2011(H3N2)),H3N2,1701,2011.5506849315068,2011
Human,2010-12-01,11320.82854,Influenza A virus A/New York/WC-LVD-10-004/2010,H3N2,1731,2010.9150684931508,2010
Human,2017-01-17,1962004.4,Influenza A virus (A/North Carolina/02/2017(H3N2)),H3N2,1737,2017.0438356164384,2017
Human,2015-08-11,1788787.7,Influenza A virus (A/South Dakota/37/2015(H3N2)),H3N2,1701,2015.6082191780824,2015
Human,2017-06-23,11320.244626,Influenza A virus A/Victoria/2030/2017,H3N2,1737,2017.4739726027397,2017
Human,2017-02-21,2037189.3,Influenza A virus (A/Georgia/6103/2017(H3N2)),H3N2,1701,2017.1397260273973,2017
Human,2014-07-25,2043957.4,Influenza A virus (A/Sydney/1004/2014(H3N2)),H3N2,1737,2014.5616438356165,2014
Nonhuman Mammal,2010-03-14,1135259.4,Influenza A virus (A/swine/North Carolina/A01076199/2010(H3N2)),H3N2,1701,2010.1972602739727,2010
Human,2017-12-28,11320.98344,Influenza A virus A/Indiana/39/2017,H3N2,1737,2017.9890410958903,2017
Human,2017-03-10,1987222.12,Influenza A virus (A/Oregon/11/2017(H3N2)),H3N2,1737,2017.186301369863,2017
Human,2004-07-27,1101430.6,Influenza A virus (A/Hong Kong/HKU88/2004(H3N2)),H3N2,1698,2004.568306010929,2004
Human,2017-01-30,1964691.9,Influenza A virus (A/Louisiana/05/2017(H3N2)),H3N2,1737,2017.0794520547945,2017
Human,2017-01-15,1964695.14,Influenza A virus (A/Michigan/20/2017(H3N2)),H3N2,1737,2017.0383561643837,2017
Human,2011-12,2036281.3,Influenza A virus (A/Hong Kong/CUHK33163/2011(H3N2)),H3N2,1689,2011.9534246575345,2011
Human,2017-12-27,11320.98726,Influenza A virus A/Maryland/99/2017,H3N2,1737,2017.986301369863,2017
Human,2018-09-10,11320.244754,Influenza A virus A/Victoria/2053/2018,H3N2,1737,2018.690410958904,2018
Human,2015-09-12,1788751.13,Influenza A virus (A/New Mexico/23/2015(H3N2)),H3N2,1701,2015.695890410959,2015
Human,2015-12-13,1865870.6,Influenza A virus (A/Hawaii/81/2015(H3N2)),H3N2,1737,2015.9479452054795,2015
Human,2015-06-15,1788600.7,Influenza A virus (A/Alaska/49/2015(H3N2)),H3N2,1701,2015.4520547945208,2015
Human,2017-03-20,1984890.5,Influenza A virus (A/Florida/22/2017(H3N2)),H3N2,1737,2017.213698630137,2017
Human,2017-02-28,1972359.3,Influenza A virus (A/North Dakota/11/2017(H3N2)),H3N2,1737,2017.158904109589,2017
Human,2017-11-20,2066324.3,Influenza A virus (A/Wisconsin/337/2017(H3N2)),H3N2,1737,2017.8849315068496,2017
Human,2014-02-25,1590958.3,Influenza A virus (A/Thailand/CU-H3611/2014(H3N2)),H3N2,1701,2014.150684931507,2014
Human,2012-10-03,1590949.3,Influenza A virus (A/Thailand/CU-H3435/2012(H3N2)),H3N2,1701,2012.7540983606557,2012
Human,2012-07-04,2044248.4,Influenza A virus (A/Victoria/84/2012(H3N2)),H3N2,1737,2012.5054644808745,2012
Human,2016-11-09,1932798.6,Influenza A virus (A/Delaware/31/2016(H3N2)),H3N2,1737,2016.8551912568305,2016
Human,2025-01-25,11320.830997,Influenza A virus A/Massachusetts/ISC-1184/2025,H3N2,1737,2025.0657534246575,2025
Human,2017-01-25,2019635.12,Influenza A virus (A/Texas/80/2017(H3N2)),H3N2,1737,2017.0657534246575,2017
Human,2016-01,2070176.3,Influenza A virus (A/Beijingxicheng/2327/2016(H3N2)),H3N2,1762,2016.03825136612,2016
Human,2016-10-21,1925195.3,Influenza A virus (A/Montana/53/2016(H3N2)),H3N2,1737,2016.8032786885249,2016
Human,2017-01-12,1954855.3,Influenza A virus (A/British Columbia/046/2017(H3N2)),H3N2,1701,2017.0301369863016,2017
Nonhuman Mammal,2018-01-09,11320.247988,Influenza A virus A/canine/Ontario/NCFAD-2018-070-2/2018,H3N2,1701,2018.021917808219,2018
Human,2024-12-27,11320.969221,Influenza A virus A/New Hampshire/129/2024,H3N2,1737,2024.986338797814,2024
Human,2021-06-17,11320.278651,Influenza A virus A/Minnesota/02/2021,H3N2,1737,2021.4575342465753,2021
Human,2012-01-28,1740066.3,Influenza A virus (A/Tokyo/48-2-415v/2012(H3N2)),H3N2,1762,2012.073770491803,2012
Human,2015-02-09,1752568.3,Influenza A virus (A/Wyoming/4789/2015(H3N2)),H3N2,1701,2015.1068493150683,2015
Human,2011-01-19,1162907.3,Influenza A virus (A/Quebec/013/2011(H3N2)),H3N2,1681,2011.0493150684931,2011
Human,2024-12-26,11320.970596,Influenza A virus A/Delaware/118/2024,H3N2,1737,2024.983606557377,2024
Human,2017-11-03,2066222.6,Influenza A virus (A/Maryland/89/2017(H3N2)),H3N2,1737,2017.8383561643836,2017
Human,2011-01-10,1599819.3,Influenza A virus (A/Tianjin Hexi/15/2011(H3N2)),H3N2,1698,2011.024657534247,2011
Nonhuman Mammal,2011-08-05,1228806.3,Influenza A virus (A/swine/Ohio/11SW96/2011(H3N2)),H3N2,1701,2011.5917808219176,2011
Human,2014-10-20,1916451.5,Influenza A virus (A/Colorado/20/2014(H3N2)),H3N2,1701,2014.8,2014
Human,2015-12-29,1915253.3,Influenza A virus (A/California/NHRC_27574/2015(H3N2)),H3N2,1701,2015.9917808219177,2015
Human,2019-01-10,11320.97347,Influenza A virus A/Michigan/31/2019,H3N2,1737,2019.024657534247,2019
Nonhuman Mammal,2015-04-03,1650962.4,Influenza A virus (A/swine/Illinois/A01820291/2015(H3N2)),H3N2,1701,2015.2520547945203,2015
Human,2014-12-08,1605018.3,Influenza A virus (A/Alberta/91/2014(H3N2)),H3N2,1686,2014.9342465753425,2014
Human,2024-11-23,11320.982461,Influenza A virus A/Colorado/238/2024,H3N2,1737,2024.8934426229507,2024
Human,2017-09-24,2051147.6,Influenza A virus (A/Florida/68/2017(H3N2)),H3N2,1737,2017.728767123288,2017
Human,2016-07-23,2044179.3,Influenza A virus (A/Victoria/508/2016(H3N2)),H3N2,1737,2016.5573770491803,2016
Human,2016-12-07,1936906.15,Influenza A virus (A/Minnesota/82/2016(H3N2)),H3N2,1737,2016.931693989071,2016
Human,2016-12-16,1948931.6,Influenza A virus (A/Florida/108/2016(H3N2)),H3N2,1737,2016.9562841530055,2016
Human,2015-01-13,2034052.5,Influenza A virus (A/Canada/11B/2015(H3N2)),H3N2,1701,2015.0328767123287,2015
Nonhuman Mammal,2016-02-25,1817930.3,Influenza A virus (A/swine/Illinois/A01732588/2016(H3N2)),H3N2,1701,2016.150273224044,2016
Human,2008-02-12,1599223.3,Influenza A virus (A/Malaysia/306/2008(H3N2)),H3N2,1698,2008.114754098361,2008
Human,2016-02-29,1865861.5,Influenza A virus (A/Hawaii/28/2016(H3N2)),H3N2,1737,2016.1584699453551,2016
Human,2008-06-02,1599781.3,Influenza A virus (A/Thailand/534/2008(H3N2)),H3N2,1698,2008.4180327868853,2008
Human,2003,1108833.6,Influenza A virus (A/Mexico/InDRE940/2003(H3N2)),H3N2,1746,2003.0,2003
Human,2024-05,11320.1516818,Influenza A virus A/Malaysia/2405230/2024,H3N2,1701,2024.3688524590164,2024
Human,2025-01-30,11320.993291,Influenza A virus A/Michigan/UM-10062098707/2025,H3N2,1701,2025.0794520547945,2025
Human,2024-10-26,11320.981264,Influenza A virus A/Nebraska/31/2024,H3N2,1737,2024.8169398907105,2024
Human,2017-02-09,1978939.12,Influenza A virus (A/Delaware/11/2017(H3N2)),H3N2,1737,2017.1068493150683,2017
Human,2024-11-24,11320.982667,Influenza A virus A/Arizona/69/2024,H3N2,1737,2024.896174863388,2024
Human,2015-03-08,1731691.9,Influenza A virus (A/Oregon/05/2015(H3N2)),H3N2,1701,2015.1808219178083,2015
Human,2024-12-27,11320.830368,Influenza A virus A/Massachusetts/ISC-1296/2024,H3N2,1737,2024.986338797814,2024
Human,2015-10-12,2043865.9,Influenza A virus (A/South Australia/1036/2015(H3N2)),H3N2,1737,2015.7780821917809,2015
Human,2011-10-17,1737278.7,Influenza A virus (A/Puerto Maldonado/FPM00365/2011(H3N2)),H3N2,1701,2011.791780821918,2011
Human,2021-10-28,11320.276353,Influenza A virus A/Michigan/15/2021,H3N2,1737,2021.8219178082193,2021
Human,2025-01-31,11320.983415,Influenza A virus A/New York/USAFSAM-15315/2025,H3N2,1701,2025.0794520547945,2025
Human,2015-07-06,2043691.3,Influenza A virus (A/Brisbane/130/2015(H3N2)),H3N2,1737,2015.509589041096,2015
Human,2014-12-10,1604927.3,Influenza A virus (A/Alberta/102/2014(H3N2)),H3N2,1684,2014.9397260273972,2014
Human,2010-07-13,1287795.6,Influenza A virus (A/Alabama/05/2010(H3N2)),H3N2,1698,2010.5287671232877,2010
Human,2015-04-05,2043753.3,Influenza A virus (A/Brisbane/79/2015(H3N2)),H3N2,1737,2015.2575342465752,2015
Human,2024-11-24,11320.98243,Influenza A virus A/Delaware/100/2024,H3N2,1737,2024.896174863388,2024
Human,2014-12-01,1897637.3,Influenza A virus (A/Iran/92243/2014(H3N2)),H3N2,1701,2014.9150684931508,2014
Nonhuman Mammal,2015-05-07,1761639.3,Influenza A virus (A/swine/Manitoba/D0380/2015(H3N2)),H3N2,1701,2015.345205479452,2015
Human,2025-01-01,11320.832677,Influenza A virus A/Massachusetts/ISC-1159/2025,H3N2,1737,2025.0,2025
Human,2010-10-01,1099950.3,Influenza A virus (A/Distrito Federal/86727/2010(H3N2)),H3N2,1701,2010.7479452054797,2010
Human,2025-01-29,11320.971429,Influenza A virus A/Massachusetts/MA-Broad_MGH-23626/2025,H3N2,1718,2025.0767123287671,2025
Human,2011-01-04,1162882.3,Influenza A virus (A/Ontario/012/2011(H3N2)),H3N2,1753,2011.0082191780823,2011
Human,2010-11-29,1598677.3,Influenza A virus (A/Fiji/52/2010(H3N2)),H3N2,1698,2010.909589041096,2010
Human,2017-04-01,2003034.7,Influenza A virus (A/Vermont/12/2017(H3N2)),H3N2,1737,2017.2465753424656,2017
Human,2015-02-01,1914483.5,Influenza A virus (A/Seoul/A1284/2015(H3N2)),H3N2,1692,2015.0849315068492,2015
Human,2024-12-15,11320.999976,Influenza A virus A/California/LACPHL-INF01183/2024,H3N2,1701,2024.9535519125684,2024
Human,2012-08-28,1523191.3,Influenza A virus (A/Hangzhou/A389/2012(H3N2)),H3N2,1701,2012.655737704918,2012
Human,2005-06-07,1541149.3,Influenza A virus (A/Quebec/26-070605/2005(H3N2)),H3N2,1701,2005.4301369863017,2005
Human,2008-01-23,1598920.3,Influenza A virus (A/Hong Kong/71/2008(H3N2)),H3N2,1698,2008.0601092896177,2008
Human,2017-02-27,1973772.4,Influenza A virus (A/Idaho/12/2017(H3N2)),H3N2,1737,2017.1561643835616,2017
Nonhuman Mammal,2013-03-22,1312858.3,Influenza A virus (A/swine/Ohio/A01349485/2013(H3N2)),H3N2,1701,2013.219178082192,2013
Human,2017-02-16,1972347.3,Influenza A virus (A/Mississippi/06/2017(H3N2)),H3N2,1737,2017.1260273972605,2017
Human,2011-02-01,1162890.3,Influenza A virus (A/Ontario/020/2011(H3N2)),H3N2,1736,2011.0849315068492,2011
Human,2017-01-15,1960475.9,Influenza A virus (A/South Dakota/04/2017(H3N2)),H3N2,1737,2017.0383561643837,2017
Human,2017-11-30,2069540.8,Influenza A virus (A/South Carolina/21/2017(H3N2)),H3N2,1737,2017.9123287671232,2017
Human,2025-01-12,11320.831552,Influenza A virus A/Massachusetts/ISC-1072/2025,H3N2,1737,2025.0301369863016,2025
Human,2015-05-21,2043828.3,Influenza A virus (A/Perth/43/2015(H3N2)),H3N2,1737,2015.3835616438355,2015
Human,2014-04-05,1553956.11,Influenza A virus (A/New Mexico/10/2014(H3N2)),H3N2,1701,2014.2575342465752,2014
Human,2013-01-18,1731790.3,Influenza A virus (A/Texas/18/2013(H3N2)),H3N2,1701,2013.0465753424655,2013
Human,2007-02-02,1052446.3,Influenza A virus (A/HaNoi/Q094/2007(H3N2)),H3N2,1735,2007.0876712328768,2007
Nonhuman Mammal,2011-11-01,1231929.6,Influenza A virus (A/canine/Korea/KRIBB01/2011(H3N2)),H3N2,1701,2011.8328767123287,2011
Human,2016-11-25,1932524.6,Influenza A virus (A/Wisconsin/92/2016(H3N2)),H3N2,1737,2016.8989071038252,2016
Human,2015-09-10,2043884.4,Influenza A virus (A/South Australia/132/2015(H3N2)),H3N2,1737,2015.690410958904,2015
Human,2011-02-22,1652966.4,Influenza A virus (A/Rochester/0040/2011(H3N2)),H3N2,1701,2011.1424657534249,2011
Human,2017-02-22,1972330.13,Influenza A virus (A/Illinois/19/2017(H3N2)),H3N2,1737,2017.1424657534249,2017
Human,2017-01-10,1960412.3,Influenza A virus (A/Illinois/06/2017(H3N2)),H3N2,1737,2017.024657534247,2017
Human,2010-06-30,1007951.3,Influenza A virus (A/Managua/3424.01/2010(H3N2)),H3N2,1734,2010.4931506849316,2010
Human,2007-01-08,1599076.3,Influenza A virus (A/Jilin Nanguan/112/2007(H3N2)),H3N2,1698,2007.0191780821915,2007
Human,2017-02-28,1972381.3,Influenza A virus (A/Wyoming/10/2017(H3N2)),H3N2,1737,2017.158904109589,2017
Nonhuman Mammal,2006-11-16,1261890.3,Influenza A virus (A/swine/North Carolina/01312/2006(H3N2)),H3N2,1737,2006.8739726027395,2006
Human,2025-01-27,11320.993887,Influenza A virus A/Michigan/UM-10062030768/2025,H3N2,1701,2025.0712328767124,2025
Human,2015-01-23,1895566.3,Influenza A virus (A/New York/WC-LVD-15-053/2015(H3N2)),H3N2,1737,2015.0602739726028,2015
Human,2009-07-06,1598439.3,Influenza A virus (A/Cambodia/6735/2009(H3N2)),H3N2,1698,2009.509589041096,2009
Human,2024-12-26,11320.824698,Influenza A virus A/Wisconsin/NIRC-IS-1128/2024,H3N2,1737,2024.983606557377,2024
Human,2014-04-08,1515861.5,Influenza A virus (A/New York/10/2014(H3N2)),H3N2,1701,2014.2657534246575,2014
Human,2017-11-21,2066282.5,Influenza A virus (A/North Dakota/26/2017(H3N2)),H3N2,1737,2017.8876712328768,2017
Nonhuman Mammal,2012-04-20,1654309.7,Influenza A virus (A/swine/Spain/31768/2012(H3N2)),H3N2,1701,2012.3005464480875,2012
Nonhuman Mammal,2020-02-07,11320.83646,Influenza A virus A/swine/Iowa/A02479053/2020,H3N2,1701,2020.1010928961748,2020
Human,2016-12-29,2015105.3,Influenza A virus (A/Kansas/5730/2016(H3N2)),H3N2,1701,2016.9918032786888,2016
Nonhuman Mammal,2016-11-28,1929152.3,Influenza A virus (A/swine/Nebraska/A01785243/2016(H3N2)),H3N2,1701,2016.9071038251368,2016
Nonhuman Mammal,2015-04-06,1646369.5,Influenza A virus (A/swine/Nebraska/A01847145/2015(H3N2)),H3N2,1701,2015.2602739726028,2015
Nonhuman Mammal,2012-04-16,1214892.5,Influenza A virus (A/swine/Nebraska/A01327581/2012(H3N2)),H3N2,1701,2012.2896174863388,2012
Human,2017-02-17,1972317.7,Influenza A virus (A/Arizona/09/2017(H3N2)),H3N2,1737,2017.1287671232876,2017
Human,2024-12-16,11320.968296,Influenza A virus A/Utah/98/2024,H3N2,1737,2024.9562841530055,2024
Human,2015-01-26,1716747.3,Influenza A virus (A/Hawaii/4631/2015(H3N2)),H3N2,1701,2015.0684931506848,2015
Human,2014-10-16,1731449.21,Influenza A virus (A/Mississippi/04/2014(H3N2)),H3N2,1701,2014.7890410958903,2014
Human,2015-01-05,1731011.4,Influenza A virus (A/California/03/2015(H3N2)),H3N2,1701,2015.0109589041097,2015
Human,2015-01-14,1716903.3,Influenza A virus (A/New York/4547/2015(H3N2)),H3N2,1701,2015.035616438356,2015
Nonhuman Mammal,2010-12-06,1654236.9,Influenza A virus (A/swine/Italy/302749/2010(H3N2)),H3N2,1701,2010.9287671232876,2010
Human,2016-02-18,1865820.8,Influenza A virus (A/Florida/25/2016(H3N2)),H3N2,1737,2016.1311475409836,2016
Human,2015-01-30,1716661.3,Influenza A virus (A/California/4614/2015(H3N2)),H3N2,1701,2015.0794520547945,2015
Human,2009-07-06,1038238.11,Influenza A virus (A/Hong Kong/H090-672-V10/2009(H3N2)),H3N2,1738,2009.509589041096,2009
Human,2010,1867874.4,Influenza A virus (A/Kenya/209/2010(H3N2)),H3N2,1718,2010.0,2010
Human,2017-11-25,2072139.9,Influenza A virus (A/Washington/321/2017(H3N2)),H3N2,1737,2017.8986301369864,2017
Human,2017-03-17,1984925.5,Influenza A virus (A/Michigan/40/2017(H3N2)),H3N2,1737,2017.2054794520548,2017
Human,2012-04-09,1244877.4,Influenza A virus (A/Saint Petersburg/RII60/2012(H3N2)),H3N2,1734,2012.270491803279,2012
Human,2015-01-22,1716864.3,Influenza A virus (A/Nebraska/4671/2015(H3N2)),H3N2,1701,2015.0575342465752,2015
Human,2024-12-10,11320.978454,Influenza A virus A/California/LACPHL-INF01268/2024,H3N2,1701,2024.9398907103823,2024
Nonhuman Mammal,2016-01-13,2030839.3,Influenza A virus (A/swine/British Columbia/SD0132/2016(H3N2)),H3N2,1701,2016.032786885246,2016
Human,2009-09-03,1287833.4,Influenza A virus (A/Oregon/34/2009(H3N2)),H3N2,1701,2009.6712328767123,2009
Nonhuman Mammal,2013-02-20,2034969.3,Influenza A virus (A/swine/Minnesota/MT_13_01_S64/2013(H3N2)),H3N2,1701,2013.13698630137,2013
Human,2015-01-05,1716631.3,Influenza A virus (A/Alabama/4228/2015(H3N2)),H3N2,1701,2015.0109589041097,2015
Nonhuman Mammal,2004-03-03,1262600.3,Influenza A virus (A/swine/Colombo/48/2004(H3N2)),H3N2,1701,2004.169398907104,2004
Nonhuman Mammal,2018-02-02,11320.82468,Influenza A virus A/swine/Nebraska/A01785442/2018,H3N2,1701,2018.0876712328768,2018
Human,2012-07-16,2043757.8,Influenza A virus (A/Canberra/1001/2012(H3N2)),H3N2,1731,2012.53825136612,2012
Human,2024-12-30,11320.971549,Influenza A virus A/Colorado/257/2024,H3N2,1737,2024.9945355191255,2024
Human,2015-09-24,2044222.4,Influenza A virus (A/Victoria/640/2015(H3N2)),H3N2,1737,2015.728767123288,2015
Human,2025-01-26,11320.993821,Influenza A virus A/Michigan/UM-10062009307/2025,H3N2,1701,2025.0684931506848,2025
Human,2024-12-09,11320.973723,Influenza A virus A/Texas/USAFSAM-15545/2024,H3N2,1701,2024.9371584699456,2024
Human,2010-07-10,1598514.3,Influenza A virus (A/Chile/6096/2010(H3N2)),H3N2,1698,2010.5205479452056,2010
Nonhuman Mammal,2015-05-19,1671417.11,Influenza A virus (A/swine/Iowa/A02077646/2015(H3N2)),H3N2,1701,2015.3780821917808,2015
Nonhuman Mammal,2010-09-22,1163381.4,Influenza A virus (A/swine/Minnesota/A01076999/2010(H3N2)),H3N2,1702,2010.7232876712328,2010
Human,2015-01-05,2034096.4,Influenza A virus (A/Canada/32B/2015(H3N2)),H3N2,1701,2015.0109589041097,2015
Human,2011-01-02,1147472.3,Influenza A virus (A/Ontario/C5828/2011(H3N2)),H3N2,1701,2011.0027397260271,2011
Nonhuman Mammal,2013-07-03,1761609.3,Influenza A virus (A/swine/Manitoba/D0248/2013(H3N2)),H3N2,1701,2013.5013698630137,2013
Human,2011-11,2036275.3,Influenza A virus (A/Hong Kong/CUHK31374/2011(H3N2)),H3N2,1689,2011.8712328767124,2011
Human,2016-12-12,1948946.13,Influenza A virus (A/Maryland/30/2016(H3N2)),H3N2,1737,2016.9453551912568,2016
Human,2017-03-11,2003000.5,Influenza A virus (A/Maryland/30/2017(H3N2)),H3N2,1737,2017.1890410958904,2017
Human,2014-12-01,1703557.3,Influenza A virus (A/Colorado/4116/2014(H3N2)),H3N2,1701,2014.9150684931508,2014
Human,2016-11-05,1936857.4,Influenza A virus (A/California/175/2016(H3N2)),H3N2,1737,2016.844262295082,2016
Human,1989,1086879.3,Influenza A virus (A/Eindhoven/3447/1989(H3N2)),H3N2,1722,1989.0,1989
Human,2015-06-21,1730989.5,Influenza A virus (A/Arizona/09/2015(H3N2)),H3N2,1701,2015.468493150685,2015
Human,2016-11-20,2049865.3,Influenza A virus (A/Nicaragua/8647_08/2016(H3N2)),H3N2,1737,2016.885245901639,2016
Human,2012-01-11,1394914.3,Influenza A virus (A/British Columbia/003/2012(H3N2)),H3N2,1701,2012.0273224043715,2012
Human,2017-03-12,2019649.13,Influenza A virus (A/Texas/98/2017(H3N2)),H3N2,1737,2017.1917808219175,2017
Human,2024-10-16,11320.982336,Influenza A virus A/Florida/17/2024,H3N2,1737,2024.7896174863388,2024
Human,2016-12-20,1954926.3,Influenza A virus (A/Ontario/249/2016(H3N2)),H3N2,1701,2016.967213114754,2016
Human,2016-07-08,2043966.3,Influenza A virus (A/Sydney/1013/2016(H3N2)),H3N2,1737,2016.516393442623,2016
Human,2016-12-23,2015104.3,Influenza A virus (A/Kansas/5686/2016(H3N2)),H3N2,1701,2016.9754098360656,2016
Human,2016-11-13,2049832.7,Influenza A virus (A/Nicaragua/6031_14/2016(H3N2)),H3N2,1737,2016.8661202185792,2016
Human,2012-03-05,1244885.3,Influenza A virus (A/Omsk/RII02/2012(H3N2)),H3N2,1717,2012.174863387978,2012
